idx,open_dt,close_dt,dir,level,wavg,close_p,total_lots,net_pips,reason,lot_pips,usd
261,2025.08.25 20:30:00,2025.08.27 19:00:00,LONG,2,0.89663,0.89778,0.25,11.5,tp_10.0_pips,2.883,19.53
262,2025.08.27 22:45:00,2025.08.29 04:45:00,LONG,1,0.89760,0.89892,0.01,13.2,tp_10.0_pips,0.132,0.89
263,2025.08.29 09:45:00,2025.09.01 11:00:00,LONG,1,0.89873,0.89981,0.01,10.8,tp_10.0_pips,0.108,0.73
264,2025.09.02 00:00:00,2025.09.02 18:00:00,LONG,3,0.89847,0.89951,0.61,10.4,tp_10.0_pips,6.350,43.02
265,2025.09.02 21:45:00,2025.09.03 05:00:00,LONG,1,0.89822,0.89930,0.01,10.8,tp_10.0_pips,0.108,0.73
266,2025.09.03 08:45:00,2025.09.03 11:30:00,LONG,1,0.89876,0.90016,0.01,14.0,tp_10.0_pips,0.140,0.95
267,2025.09.03 22:45:00,2025.09.05 09:00:00,LONG,2,0.90080,0.90190,0.25,11.0,tp_10.0_pips,2.757,18.68
268,2025.09.05 15:30:00,2025.09.05 15:45:00,LONG,1,0.90178,0.90614,0.01,43.6,tp_10.0_pips,0.436,2.95
269,2025.09.05 23:30:00,2025.09.08 09:15:00,LONG,1,0.90716,0.90824,0.01,10.8,tp_10.0_pips,0.108,0.73
270,2025.09.08 23:30:00,2025.09.09 07:30:00,LONG,1,0.91031,0.91149,0.01,11.8,tp_10.0_pips,0.118,0.80
271,2025.09.09 15:30:00,2025.09.10 05:15:00,LONG,1,0.91246,0.91348,0.01,10.2,tp_10.0_pips,0.102,0.69
272,2025.09.10 11:45:00,2025.09.10 14:15:00,LONG,1,0.91413,0.91523,0.01,11.0,tp_10.0_pips,0.110,0.75
273,2025.09.10 22:15:00,2025.09.11 16:15:00,LONG,1,0.91733,0.91838,0.01,10.5,tp_10.0_pips,0.105,0.71
